Temperature (°C),Humidity (%),Moisture Level (%),Soil Type,Crop Type,pH Level,Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Fertilizer Recommendation
23.5,67.8,29.3,Peaty,Tomato,5.7,61.3,25.1,78.0,Complex Fertilizer
16.8,38.3,21.5,Chalky,Sugarcane,6.6,51.2,36.3,63.4,Complex Fertilizer
19.2,80.1,13.3,Peaty,Wheat,7.5,73.1,26.9,32.9,Potash
20.9,40.2,30.0,Clayey,Sugarcane,6.2,40.5,21.4,18.6,Potash
16.8,38.8,20.2,Chalky,Rice,7.5,58.9,24.6,74.5,Potash
15.6,65.6,27.0,Silty,Wheat,5.3,28.6,42.6,47.6,Urea
33.8,73.4,30.1,Chalky,Wheat,4.8,87.5,49.6,77.6,Gypsum
20.8,34.0,28.6,Silty,Tomato,7.5,49.9,39.7,60.4,DAP
19.0,71.2,37.3,Clayey,Wheat,5.8,38.9,39.5,18.8,Potash
36.1,38.5,40.8,Chalky,Sugarcane,7.2,21.1,36.8,46.8,Urea
27.9,50.3,38.6,Clayey,Maize,5.5,25.4,44.2,42.8,Urea
16.7,75.9,26.8,Sandy,Wheat,4.6,42.4,21.7,16.9,Potash
24.2,44.2,13.7,Clayey,Cotton,6.5,11.8,29.5,59.1,Urea
35.8,85.4,43.0,Loamy,Potato,6.4,42.8,48.4,56.3,DAP
32.6,48.2,18.0,Sandy,Potato,5.7,41.7,41.4,48.7,SSP
26.2,75.7,41.8,Peaty,Maize,6.6,49.3,12.1,78.9,DAP
37.3,31.8,28.8,Loamy,Rice,8.5,17.6,33.1,27.7,Urea
39.6,63.7,31.7,Sandy,Maize,8.5,70.6,7.2,11.5,DAP
33.3,87.2,20.8,Peaty,Maize,8.0,28.9,34.3,57.7,Urea
39.9,74.7,49.6,Peaty,Wheat,5.7,25.9,36.4,35.5,Urea
16.6,36.3,38.6,Clayey,Potato,8.4,63.3,39.1,66.7,SSP
37.1,52.0,23.2,Peaty,Cotton,7.0,23.9,42.0,76.1,Urea
34.1,75.6,35.4,Chalky,Wheat,5.3,43.4,8.5,77.2,DAP
25.2,83.8,10.1,Silty,Tomato,5.8,79.9,36.5,40.0,Complex Fertilizer
30.7,38.7,29.3,Silty,Maize,8.2,26.3,13.2,44.9,Urea
38.4,78.7,49.9,Chalky,Cotton,6.3,40.3,31.8,69.8,Complex Fertilizer
33.8,52.4,27.5,Peaty,Wheat,5.6,34.4,40.0,78.3,SSP
19.8,43.0,32.4,Peaty,Wheat,5.9,41.3,14.5,50.8,DAP
24.6,60.5,22.1,Chalky,Maize,8.2,86.0,19.4,51.0,DAP
34.7,35.8,54.2,Loamy,Wheat,5.5,28.0,47.6,67.1,Urea
25.8,50.8,36.4,Loamy,Maize,5.9,20.3,9.9,65.4,Urea
29.1,68.0,32.5,Chalky,Sugarcane,6.5,79.7,5.9,44.8,DAP
18.8,38.7,22.2,Peaty,Wheat,8.3,27.0,17.2,29.3,Urea
33.0,54.6,52.0,Loamy,Rice,7.2,40.9,46.4,24.3,Potash
32.2,30.7,12.0,Clayey,Rice,6.0,29.4,11.7,61.7,Urea
30.0,38.9,31.9,Chalky,Potato,7.1,60.1,31.9,75.4,DAP
25.6,77.8,44.4,Chalky,Wheat,5.5,82.7,12.4,55.5,DAP
39.1,86.7,30.9,Sandy,Potato,7.0,72.9,38.6,75.5,Urea
18.3,36.8,50.3,Peaty,Sugarcane,6.3,72.9,41.8,26.1,Potash
36.7,72.2,49.0,Clayey,Rice,5.6,83.6,13.6,60.7,DAP
35.0,72.2,50.2,Sandy,Maize,6.5,91.7,10.8,53.6,DAP
33.6,57.4,33.9,Loamy,Tomato,7.6,43.2,10.2,10.6,DAP
33.3,86.9,13.1,Loamy,Potato,6.0,36.9,10.7,67.3,DAP
19.8,40.4,57.5,Chalky,Maize,6.5,86.5,40.0,69.3,SSP
23.1,40.7,16.2,Clayey,Potato,5.8,68.3,11.4,67.6,DAP
19.2,33.1,56.5,Sandy,Cotton,7.5,66.3,11.5,30.3,DAP
35.0,66.6,24.4,Silty,Tomato,4.9,29.8,12.2,29.0,Urea
34.9,52.8,38.3,Loamy,Rice,6.3,71.9,37.6,31.7,Complex Fertilizer
34.0,37.0,35.6,Silty,Cotton,8.2,61.1,24.8,47.9,SSP
15.6,71.5,35.7,Clayey,Potato,7.9,71.7,23.9,63.7,SSP
26.9,64.6,44.3,Clayey,Wheat,5.7,40.0,49.4,77.7,Potash
30.0,52.6,20.8,Loamy,Potato,8.0,22.3,34.3,34.0,Urea
35.8,81.0,58.4,Clayey,Rice,5.2,22.4,46.2,49.6,Urea
21.0,61.6,49.8,Loamy,Rice,5.6,76.6,47.1,47.4,Urea
22.2,89.2,47.6,Silty,Tomato,7.5,85.9,41.7,69.1,SSP
15.6,42.0,42.6,Clayey,Potato,6.8,90.2,11.5,44.1,DAP
40.0,78.0,38.0,Peaty,Wheat,7.4,96.4,15.0,61.0,DAP
19.4,54.9,32.9,Silty,Wheat,8.5,49.5,20.2,61.7,SSP
17.0,68.0,28.4,Peaty,Potato,7.6,62.1,22.4,78.3,SSP
39.3,33.8,25.1,Peaty,Maize,6.2,68.1,38.2,12.4,Potash
21.1,30.1,55.4,Loamy,Rice,4.8,11.0,5.2,38.0,Urea
27.6,55.9,14.3,Chalky,Tomato,6.7,24.5,26.1,75.9,Urea
19.9,83.9,25.5,Chalky,Tomato,5.1,70.9,35.9,38.5,Gypsum
19.3,35.1,10.6,Silty,Maize,5.8,33.3,8.8,56.3,DAP
26.6,79.7,13.7,Chalky,Cotton,8.1,82.6,24.8,32.9,SSP
20.4,86.2,20.1,Peaty,Maize,8.5,21.3,37.6,21.1,Urea
20.1,48.7,57.7,Loamy,Sugarcane,6.9,42.0,19.7,33.7,DAP
33.5,38.5,40.9,Chalky,Tomato,5.7,60.6,49.6,75.3,SSP
